Year,Stage,Match,Sheet,Team,Skip,LRFE,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2018,Round robin,Draw 1,A,New Brunswick,Grattan,0,0,2,0,2,1,0,0,2,2,,,9,9,W,6
2018,Round robin,Draw 1,A,Nunavut,St.Louis,1,1,0,1,0,0,1,0,0,0,,,3,9,L,-6
2018,Round robin,Draw 1,B,Saskatchewan,Laycock,0,1,0,0,1,0,0,0,0,0,,,2,9,L,-3
2018,Round robin,Draw 1,B,Quebec,Fournier,1,0,0,1,0,0,1,0,2,1,,,5,9,W,3
2018,Round robin,Draw 1,C,Prince Edward Island,MacKenzie,0,0,0,4,0,0,1,0,2,,,,7,8,L,-5
2018,Round robin,Draw 1,C,Manitoba,Carruthers,1,3,3,0,1,2,0,3,0,,,,12,8,W,5
2018,Round robin,Draw 1,D,Northern Ontario,Jacobs,1,0,1,0,0,1,0,0,1,0,1,,4,10,W,1
2018,Round robin,Draw 1,D,Ontario,Epping,0,0,0,1,0,0,0,1,0,1,0,,3,10,L,-1
2018,Round robin,Draw 2,A,Canada,Gushue,1,0,4,0,0,0,4,2,0,,,,10,8,W,8
2018,Round robin,Draw 2,A,British Columbia,Geall,0,0,0,0,0,1,0,0,1,,,,2,8,L,-8
2018,Round robin,Draw 2,B,Northwest Territories,Koe,0,0,2,0,2,0,2,1,1,0,1,,9,10,W,2
2018,Round robin,Draw 2,B,Newfoundland and Labrador,Smith,1,1,0,2,0,4,0,0,0,0,0,,7,10,L,-2
2018,Round robin,Draw 2,C,Nova Scotia,Murphy,0,0,0,2,0,2,1,0,1,0,0,1,7,11,W,1
2018,Round robin,Draw 2,C,Alberta,Bottcher,1,0,0,0,2,0,0,2,0,1,1,0,6,11,L,-1
2018,Round robin,Draw 2,D,Wild Card,McEwen,1,3,0,0,0,0,2,0,0,0,,,5,9,W,2
2018,Round robin,Draw 2,D,Yukon,Scoffin,0,0,0,1,1,0,0,0,0,1,,,3,9,L,-2
2018,Round robin,Draw 3,A,Saskatchewan,Laycock,0,0,0,0,2,0,1,0,0,1,1,0,5,11,L,-2
2018,Round robin,Draw 3,A,Manitoba,Carruthers,1,0,1,0,0,2,0,1,1,0,0,2,7,11,W,2
2018,Round robin,Draw 3,B,New Brunswick,Grattan,1,1,0,0,1,1,0,1,1,1,1,0,7,11,L,-2
2018,Round robin,Draw 3,B,Ontario,Epping,0,0,3,2,0,0,2,0,0,0,0,2,9,11,W,2
2018,Round robin,Draw 3,C,Northern Ontario,Jacobs,1,2,1,0,0,2,1,0,0,0,,,6,9,W,3
2018,Round robin,Draw 3,C,Nunavut,St.Louis,0,0,0,0,1,0,0,0,1,1,,,3,9,L,-3
2018,Round robin,Draw 3,D,Prince Edward Island,MacKenzie,0,1,0,0,0,1,0,0,3,0,2,,7,10,W,1
2018,Round robin,Draw 3,D,Quebec,Fournier,1,0,0,3,0,0,0,2,0,1,0,,6,10,L,-1
2018,Round robin,Draw 4,A,Northwest Territories,Koe,0,0,0,0,0,0,2,0,0,,,,2,8,L,-7
2018,Round robin,Draw 4,A,Alberta,Bottcher,1,0,2,2,2,1,0,1,1,,,,9,8,W,7
2018,Round robin,Draw 4,B,Canada,Gushue,0,2,2,0,2,1,0,1,0,,,,8,8,W,5
2018,Round robin,Draw 4,B,Yukon,Scoffin,1,0,0,1,0,0,1,0,1,,,,3,8,L,-5
2018,Round robin,Draw 4,C,Wild Card,McEwen,0,1,2,0,0,3,0,2,1,,,,9,8,W,6
2018,Round robin,Draw 4,C,British Columbia,Geall,1,0,0,1,1,0,1,0,0,,,,3,8,L,-6
2018,Round robin,Draw 4,D,Nova Scotia,Murphy,0,0,2,0,1,0,0,3,2,1,,,9,9,W,3
2018,Round robin,Draw 4,D,Newfoundland and Labrador,Smith,1,1,0,3,0,1,1,0,0,0,,,6,9,L,-3
2018,Round robin,Draw 5,A,Northern Ontario,Jacobs,0,0,1,0,2,4,2,0,0,,,,9,8,W,4
2018,Round robin,Draw 5,A,Prince Edward Island,MacKenzie,1,1,0,2,0,0,0,1,1,,,,5,8,L,-4
2018,Round robin,Draw 5,B,Nunavut,St.Louis,0,0,0,2,0,0,1,0,2,,,,5,8,L,-7
2018,Round robin,Draw 5,B,Manitoba,Carruthers,1,2,1,0,2,4,0,3,0,,,,12,8,W,7
2018,Round robin,Draw 5,C,Ontario,Epping,1,3,0,1,0,2,0,1,0,,,,7,8,W,4
2018,Round robin,Draw 5,C,Quebec,Fournier,0,0,1,0,1,0,0,0,1,,,,3,8,L,-4
2018,Round robin,Draw 5,D,New Brunswick,Grattan,1,0,3,0,0,0,0,1,0,,,,4,8,L,-5
2018,Round robin,Draw 5,D,Saskatchewan,Laycock,0,2,0,2,1,1,1,0,2,,,,9,8,W,5
2018,Round robin,Draw 6,A,Wild Card,McEwen,1,1,0,0,0,2,0,0,0,0,3,,6,10,W,1
2018,Round robin,Draw 6,A,Nova Scotia,Murphy,0,0,0,1,0,0,0,2,1,1,0,,5,10,L,-1
2018,Round robin,Draw 6,B,British Columbia,Geall,0,0,0,4,1,0,1,0,0,2,0,,8,10,L,-1
2018,Round robin,Draw 6,B,Alberta,Bottcher,1,1,0,0,0,2,0,2,3,0,1,,9,10,W,1
2018,Round robin,Draw 6,C,Yukon,Scoffin,0,0,1,0,1,0,0,2,0,1,1,,6,10,L,-1
2018,Round robin,Draw 6,C,Newfoundland and Labrador,Smith,1,1,0,1,0,2,0,0,3,0,0,,7,10,W,1
2018,Round robin,Draw 6,D,Canada,Gushue,1,1,0,0,2,0,2,0,3,,,,8,8,W,4
2018,Round robin,Draw 6,D,Northwest Territories,Koe,0,0,0,2,0,1,0,1,0,,,,4,8,L,-4
2018,Round robin,Draw 7,A,Manitoba,Carruthers,0,0,2,0,2,0,3,0,0,2,,,9,9,W,3
2018,Round robin,Draw 7,A,Quebec,Fournier,1,1,0,1,0,1,0,2,1,0,,,6,9,L,-3
2018,Round robin,Draw 7,B,Northern Ontario,Jacobs,1,1,1,0,2,1,0,3,0,1,,,9,9,W,5
2018,Round robin,Draw 7,B,New Brunswick,Grattan,0,0,0,1,0,0,2,0,1,0,,,4,9,L,-5
2018,Round robin,Draw 7,C,Saskatchewan,Laycock,0,0,0,1,0,2,0,1,0,2,0,1,7,11,W,1
2018,Round robin,Draw 7,C,Prince Edward Island,MacKenzie,1,0,0,0,3,0,1,0,1,0,1,0,6,11,L,-1
