Year,Stage,Match,Team,Skip,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2018,Round robin,Draw 1,BC,Van Osch,0,0,1,0,0,1,0,0,0,,,2,9,L,-4
2018,Round robin,Draw 1,CAN,Englot,1,0,0,1,0,0,0,2,2,,,6,9,W,4
2018,Round robin,Draw 1,PEI,MacPhee,0,0,4,0,1,0,1,0,0,,,6,9,L,-5
2018,Round robin,Draw 1,NL,Curtis,1,0,0,2,0,3,0,3,2,,,11,9,W,5
2018,Round robin,Draw 1,ONT,Duncan,1,0,0,1,0,0,1,0,2,0,,5,10,L,-1
2018,Round robin,Draw 1,ALTA,Scheidegger,0,1,1,0,0,1,0,2,0,1,,6,10,W,1
2018,Round robin,Draw 1,QUE,Gagne,1,1,3,0,0,2,0,2,,,,9,8,W,7
2018,Round robin,Draw 1,NUN,Shackelton,0,0,0,1,0,0,1,0,,,,2,8,L,-7
2018,Round robin,Draw 2,WC,Einarson,3,0,1,0,0,2,1,0,0,1,,8,10,W,2
2018,Round robin,Draw 2,NB,Robichaud,0,1,0,1,1,0,0,2,1,0,,6,10,L,-2
2018,Round robin,Draw 2,SSK,Anderson,0,0,1,0,0,2,0,2,,,,5,8,L,-7
2018,Round robin,Draw 2,MAN,Jones,2,3,0,0,5,0,2,0,,,,12,8,W,7
2018,Round robin,Draw 2,YUK,Duncan,0,1,0,0,0,3,0,0,2,,,6,9,L,-3
2018,Round robin,Draw 2,NWT,Galusha,0,0,2,1,3,0,2,1,0,,,9,9,W,3
2018,Round robin,Draw 2,NON,Fleury,1,0,0,0,0,2,0,1,0,,,4,9,L,-6
2018,Round robin,Draw 2,NS,Arsenault,0,0,2,1,2,0,1,0,4,,,10,9,W,6
2018,Round robin,Draw 3,PEI,MacPhee,0,2,0,1,0,0,1,0,2,,,6,9,L,-2
2018,Round robin,Draw 3,ALTA,Scheidegger,2,0,1,0,0,2,0,3,0,,,8,9,W,2
2018,Round robin,Draw 3,BC,Van Osch,0,2,0,0,2,1,0,1,1,,,7,9,W,3
2018,Round robin,Draw 3,NUN,Shackelton,1,0,1,1,0,0,1,0,0,,,4,9,L,-3
2018,Round robin,Draw 3,QUE,Gagne,0,2,0,0,1,0,0,1,0,1,0,5,11,L,-1
2018,Round robin,Draw 3,CAN,Englot,2,0,1,1,0,0,0,0,1,0,1,6,11,W,1
2018,Round robin,Draw 3,ONT,Duncan,0,0,2,0,0,2,0,1,0,,,5,9,L,-3
2018,Round robin,Draw 3,NL,Curtis,0,3,0,1,1,0,1,0,2,,,8,9,W,3
2018,Round robin,Draw 4,SSK,Anderson,0,2,1,0,0,1,0,0,4,,,8,9,W,4
2018,Round robin,Draw 4,NWT,Galusha,0,0,0,0,2,0,0,2,0,,,4,9,L,-4
2018,Round robin,Draw 4,WC,Einarson,0,2,0,1,0,0,0,3,0,1,,7,10,W,2
2018,Round robin,Draw 4,NS,Arsenault,1,0,1,0,0,0,1,0,2,0,,5,10,L,-2
2018,Round robin,Draw 4,NON,Fleury,0,2,0,0,3,0,0,0,0,0,,5,10,L,-3
2018,Round robin,Draw 4,NB,Robichaud,1,0,1,0,0,2,2,0,0,2,,8,10,W,3
2018,Round robin,Draw 4,YUK,Duncan,0,0,0,0,1,0,,,,,,1,6,L,-13
2018,Round robin,Draw 4,MAN,Jones,3,3,1,1,0,6,,,,,,14,6,W,13
2018,Round robin,Draw 5,QUE,Gagne,0,3,0,1,0,0,0,1,0,0,,5,10,L,-2
2018,Round robin,Draw 5,ONT,Duncan,1,0,2,0,2,0,1,0,0,1,,7,10,W,2
2018,Round robin,Draw 5,CAN,Englot,0,2,0,0,1,0,3,0,0,,,6,9,L,-4
2018,Round robin,Draw 5,ALTA,Scheidegger,2,0,0,3,0,2,0,1,2,,,10,9,W,4
2018,Round robin,Draw 5,NUN,Shackelton,0,1,0,0,1,0,1,0,,,,3,8,L,-7
2018,Round robin,Draw 5,NL,Curtis,0,0,3,4,0,3,0,0,,,,10,8,W,7
2018,Round robin,Draw 5,BC,Van Osch,0,2,0,2,0,0,0,1,0,,,5,9,L,-4
2018,Round robin,Draw 5,PEI,MacPhee,2,0,2,0,0,3,1,0,1,,,9,9,W,4
2018,Round robin,Draw 6,NON,Fleury,0,1,1,0,3,0,2,1,0,,,8,9,W,3
2018,Round robin,Draw 6,YUK,Duncan,2,0,0,1,0,1,0,0,1,,,5,9,L,-3
2018,Round robin,Draw 6,NB,Robichaud,1,0,2,0,1,0,1,1,0,1,1,8,11,W,1
2018,Round robin,Draw 6,NWT,Galusha,0,2,0,2,0,3,0,0,0,0,0,7,11,L,-1
2018,Round robin,Draw 6,NS,Arsenault,0,0,1,0,1,0,2,1,0,,,5,9,L,-6
2018,Round robin,Draw 6,MAN,Jones,2,2,0,2,0,2,0,0,3,,,11,9,W,6
2018,Round robin,Draw 6,WC,Einarson,0,1,0,2,0,1,0,1,3,,,8,9,W,4
2018,Round robin,Draw 6,SSK,Anderson,0,0,1,0,1,0,2,0,0,,,4,9,L,-4
2018,Round robin,Draw 7,ALTA,Scheidegger,0,0,1,0,0,1,0,2,1,0,,5,10,L,-4
2018,Round robin,Draw 7,NL,Curtis,0,1,0,2,1,0,3,0,0,2,,9,10,W,4
2018,Round robin,Draw 7,QUE,Gagne,0,1,0,2,0,0,1,0,,,,4,8,L,-6
2018,Round robin,Draw 7,BC,Van Osch,2,0,1,0,3,2,0,2,,,,10,8,W,6
2018,Round robin,Draw 7,PEI,MacPhee,0,0,1,1,0,0,2,0,2,0,0,6,11,L,-2
2018,Round robin,Draw 7,ONT,Duncan,0,1,0,0,0,1,0,3,0,1,2,8,11,W,2
2018,Round robin,Draw 7,NUN,Shackelton,0,2,0,1,0,1,0,0,,,,4,8,L,-9
2018,Round robin,Draw 7,CAN,Englot,3,0,3,0,2,0,2,3,,,,13,8,W,9
2018,Round robin,Draw 8,NWT,Galusha,0,0,0,1,0,0,3,0,,,,4,8,L,-10
2018,Round robin,Draw 8,MAN,Jones,0,0,2,0,5,3,0,2,,,,14,8,W,10
2018,Round robin,Draw 8,NON,Fleury,3,0,0,0,0,2,0,2,0,,,7,9,W,2
2018,Round robin,Draw 8,WC,Einarson,0,2,0,0,1,0,2,0,0,,,5,9,L,-2
2018,Round robin,Draw 8,SSK,Anderson,3,0,1,0,1,0,1,0,2,2,,10,10,W,3
2018,Round robin,Draw 8,YUK,Duncan,0,1,0,1,0,3,0,2,0,0,,7,10,L,-3
2018,Round robin,Draw 8,NS,Arsenault,1,0,1,0,3,0,0,0,0,1,1,7,11,W,1
2018,Round robin,Draw 8,NB,Robichaud,0,1,0,2,0,3,0,0,0,0,0,6,11,L,-1
2018,Round robin,Draw 9,ONT,Duncan,2,0,0,1,0,1,0,1,0,0,,5,10,L,-1
2018,Round robin,Draw 9,BC,Van Osch,0,1,0,0,0,0,2,0,0,3,,6,10,W,1
2018,Round robin,Draw 9,NL,Curtis,0,0,2,0,0,0,1,0,2,,,5,9,L,-3
2018,Round robin,Draw 9,CAN,Englot,2,2,0,1,1,1,0,1,0,,,8,9,W,3
2018,Round robin,Draw 9,ALTA,Scheidegger,2,3,0,0,4,0,1,1,,,,10,8,W,6
2018,Round robin,Draw 9,NUN,Shackelton,0,0,2,1,0,1,0,0,,,,4,8,L,-6
2018,Round robin,Draw 9,PEI,MacPhee,0,2,0,1,0,0,2,0,1,0,,6,10,L,-2
2018,Round robin,Draw 9,QUE,Gagne,1,0,1,0,2,1,0,1,0,2,,8,10,W,2
2018,Round robin,Draw 10,YUK,Duncan,0,0,1,0,0,1,0,1,,,,3,8,L,-7
2018,Round robin,Draw 10,WC,Einarson,3,2,0,2,1,0,2,0,,,,10,8,W,7
2018,Round robin,Draw 10,MAN,Jones,0,2,0,2,0,2,0,1,0,,,7,9,W,3
2018,Round robin,Draw 10,NB,Robichaud,0,0,0,0,2,0,1,0,1,,,4,9,L,-3
2018,Round robin,Draw 10,NWT,Galusha,0,4,0,0,2,0,0,2,0,0,,8,10,L,-1
2018,Round robin,Draw 10,NS,Arsenault,1,0,2,0,0,3,1,0,0,2,,9,10,W,1
2018,Round robin,Draw 10,SSK,Anderson,0,1,0,1,0,0,1,1,0,,,4,9,L,-3
2018,Round robin,Draw 10,NON,Fleury,1,0,2,0,2,1,0,0,1,,,7,9,W,3
2018,Round robin,Draw 11,NL,Curtis,0,0,0,3,0,2,0,0,2,0,,7,10,L,-2
2018,Round robin,Draw 11,QUE,Gagne,0,2,1,0,1,0,1,2,0,2,,9,10,W,2
2018,Round robin,Draw 11,NUN,Shackelton,0,1,0,1,0,0,0,0,,,,2,8,L,-10
2018,Round robin,Draw 11,ONT,Duncan,0,0,1,0,4,4,2,1,,,,12,8,W,10
2018,Round robin,Draw 11,CAN,Englot,2,0,0,0,2,2,0,1,0,,,7,9,W,2
2018,Round robin,Draw 11,PEI,MacPhee,0,0,0,2,0,0,1,0,2,,,5,9,L,-2
2018,Round robin,Draw 11,ALTA,Scheidegger,0,2,3,0,1,3,0,2,,,,11,8,W,10
2018,Round robin,Draw 11,BC,Van Osch,0,0,0,1,0,0,0,0,,,,1,8,L,-10
2018,Round robin,Draw 12,MAN,Jones,2,0,2,0,0,1,0,0,0,0,,5,10,L,-4
2018,Round robin,Draw 12,NON,Fleury,0,1,0,2,1,0,0,2,0,3,,9,10,W,4
2018,Round robin,Draw 12,NS,Arsenault,0,0,0,1,0,0,2,2,3,,,8,9,W,6
2018,Round robin,Draw 12,YUK,Duncan,0,0,1,0,0,1,0,0,0,,,2,9,L,-6
2018,Round robin,Draw 12,NB,Robichaud,2,0,0,1,0,0,2,1,0,0,1,7,11,W,1
2018,Round robin,Draw 12,SSK,Anderson,0,2,0,0,1,0,0,0,2,1,0,6,11,L,-1
2018,Round robin,Draw 12,NWT,Galusha,1,0,0,0,0,1,1,0,,,,3,8,L,-6
2018,Round robin,Draw 12,WC,Einarson,0,2,1,2,2,0,0,2,,,,9,8,W,6
2018,Round robin,Draw 13,NUN,Shackelton,0,0,0,1,0,1,0,2,,,,4,8,L,-8
2018,Round robin,Draw 13,PEI,MacPhee,3,2,1,0,2,0,4,0,,,,12,8,W,8
2018,Round robin,Draw 13,ALTA,Scheidegger,0,2,3,0,0,2,0,2,,,,9,8,W,7
2018,Round robin,Draw 13,QUE,Gagne,0,0,0,0,1,0,1,0,,,,2,8,L,-7
2018,Round robin,Draw 13,NL,Curtis,0,0,1,0,1,0,2,0,3,0,,7,10,L,-3
2018,Round robin,Draw 13,BC,Van Osch,0,2,0,2,0,2,0,3,0,1,,10,10,W,3
2018,Round robin,Draw 13,CAN,Englot,1,0,0,0,1,1,0,2,0,0,,5,10,L,-2
2018,Round robin,Draw 13,ONT,Duncan,0,2,0,1,0,0,3,0,0,1,,7,10,W,2
2018,Round robin,Draw 14,NS,Arsenault,2,1,0,1,0,1,0,3,,,,8,8,W,5
2018,Round robin,Draw 14,SSK,Anderson,0,0,1,0,1,0,1,0,,,,3,8,L,-5
2018,Round robin,Draw 14,NWT,Galusha,0,1,1,0,0,3,0,0,1,0,,6,10,L,-1
2018,Round robin,Draw 14,NON,Fleury,0,0,0,2,1,0,2,1,0,1,,7,10,W,1
2018,Round robin,Draw 14,MAN,Jones,0,1,0,0,0,1,0,2,,,,4,8,L,-5
2018,Round robin,Draw 14,WC,Einarson,1,0,0,4,2,0,2,0,,,,9,8,W,5
2018,Round robin,Draw 14,NB,Robichaud,1,0,0,1,0,2,0,2,0,,,6,9,W,3
2018,Round robin,Draw 14,YUK,Duncan,0,1,0,0,0,0,1,0,1,,,3,9,L,-3
2018,Tiebreaker,,NL,Curtis,1,0,3,0,1,0,1,2,0,0,,8,10,L,-3
2018,Tiebreaker,,ONT,Duncan,0,2,0,3,0,1,0,0,3,2,,11,10,W,3
2018,Seeding,5 vs. 5,NB,Robichaud,0,1,2,2,0,1,0,1,0,1,,8,10,W,4
2018,Seeding,5 vs. 5,NL,Curtis,1,0,0,0,1,0,1,0,1,0,,4,10,L,-4
2018,Seeding,6 vs. 6,SSK,Anderson,2,0,2,3,0,0,1,0,1,,,9,9,W,2
2018,Seeding,6 vs. 6,QUE,Gagne,0,5,0,0,0,1,0,1,0,,,7,9,L,-2
2018,Seeding,7 vs. 7,NWT,Galusha,0,2,0,1,0,2,0,0,2,0,2,9,11,W,2
2018,Seeding,7 vs. 7,PEI,MacPhee,1,0,1,0,2,0,0,1,0,2,0,7,11,L,-2
2018,Seeding,8 vs. 8,YUK,Duncan,3,0,1,1,0,1,1,0,2,,,9,9,W,5
2018,Seeding,8 vs. 8,NUN,Shackelton,0,1,0,0,2,0,0,1,0,,,4,9,L,-5
2018,Champ pool,Draw 15,ONT,Duncan,1,1,0,1,0,1,0,0,1,0,,5,10,L,-2
2018,Champ pool,Draw 15,WC,Einarson,0,0,1,0,2,0,0,3,0,1,,7,10,W,2
2018,Champ pool,Draw 15,BC,Van Osch,0,1,0,1,0,0,1,0,,,,3,8,L,-7
2018,Champ pool,Draw 15,MAN,Jones,2,0,3,0,0,3,0,2,,,,10,8,W,7
2018,Champ pool,Draw 15,CAN,Englot,0,0,0,0,0,1,0,0,,,,1,8,L,-6
2018,Champ pool,Draw 15,NS,Arsenault,0,1,1,1,0,0,2,2,,,,7,8,W,6
2018,Champ pool,Draw 15,ALTA,Scheidegger,1,0,1,0,3,0,2,0,1,,,7,9,W,3
2018,Champ pool,Draw 15,NON,Fleury,0,0,0,1,0,2,0,1,0,,,4,9,L,-3
2018,Champ pool,Draw 16,CAN,Englot,0,0,1,0,1,0,1,0,,,,3,8,L,-5
2018,Champ pool,Draw 16,NON,Fleury,0,2,0,2,0,2,0,2,,,,8,8,W,5
2018,Champ pool,Draw 16,ALTA,Scheidegger,0,1,0,1,0,0,1,0,,,,3,8,L,-5
2018,Champ pool,Draw 16,NS,Arsenault,3,0,1,0,0,1,0,3,,,,8,8,W,5
2018,Champ pool,Draw 16,BC,Van Osch,0,0,2,0,1,0,0,0,2,0,,5,10,L,-1
2018,Champ pool,Draw 16,WC,Einarson,2,1,0,1,0,0,0,2,0,0,,6,10,W,1
2018,Champ pool,Draw 16,ONT,Duncan,0,0,1,0,1,0,1,0,,,,3,8,L,-8
2018,Champ pool,Draw 16,MAN,Jones,4,1,0,1,0,3,0,2,,,,11,8,W,8
2018,Champ pool,Draw 17,MAN,Jones,1,0,0,2,0,1,1,1,,,,6,8,W,4
